Starting training for 300 epochs - 
  epoch    train_loss     dur
-------  ------------  ------
      1        1.4408  3.4782
      2        1.4118  2.9709
      3        1.4207  3.3304
      4        1.3022  4.1232
      5        1.0872  5.0310
      6        1.0601  4.6898
      7        1.0106  4.4638
      8        0.9749  3.7828
      9        0.9604  3.4501
     10        0.9506  5.5887
     11        0.9264  3.5118
     12        0.9110  3.1663
     13        0.9008  3.4315
     14        0.8734  3.8966
     15        0.8511  3.6377
     16        0.8793  3.7443
     17        0.7708  3.6046
     18        0.7984  3.5160
     19        0.7889  3.1580
     20        0.7755  3.2008
     21        0.7366  3.1421
     22        0.7332  3.1258
     23        0.6986  3.1859
     24        0.6864  4.3454
     25        0.6555  3.8783
     26        0.6913  3.9006
     27        0.6689  4.3859
     28        0.6863  4.0691
     29        0.6612  3.1688
     30        0.6748  3.1227
     31        0.6084  3.4739
     32        0.6070  3.3187
     33        0.5995  3.5528
     34        0.5658  3.4788
     35        0.6159  3.1809
     36        0.6279  3.1355
     37        0.6115  3.1143
     38        0.6742  3.2786
     39        0.5891  3.1798
     40        0.5537  3.2383
     41        0.5638  3.2917
     42        0.5382  3.7177
     43        0.5733  3.1581
     44        0.5998  3.2197
     45        0.5251  3.1394
     46        0.5623  3.1235
     47        0.6068  3.1261
     48        0.5804  3.1434
     49        0.5188  3.2118
     50        0.5234  3.2276
     51        0.4886  3.2413
     52        0.5035  3.1383
     53        0.5802  3.1312
     54        0.4971  3.1280
     55        0.5268  3.3350
     56        0.4897  3.1337
     57        0.4858  3.1377
     58        0.5501  3.9458
     59        0.4807  3.6773
     60        0.4803  4.6077
     61        0.4380  3.8919
     62        0.4529  3.2367
     63        0.5011  3.3633
     64        0.4337  3.5780
     65        0.4872  3.8584
     66        0.4769  3.5736
     67        0.5118  3.2334
     68        0.4031  3.3243
     69        0.4003  3.2148
     70        0.4043  3.2024
     71        0.3742  3.7149
     72        0.4551  3.2100
     73        0.5113  3.1773
     74        0.3493  3.1217
     75        0.4170  3.1401
     76        0.4320  3.2529
     77        0.4147  3.1147
     78        0.3869  3.9651
     79        0.4048  3.5170
     80        0.3999  3.4182
     81        0.3709  3.2445
     82        0.4318  3.3178
     83        0.3210  3.2645
     84        0.4101  3.4492
     85        0.3855  3.2206
     86        0.5479  3.4761
     87        0.3837  3.5769
     88        0.3584  3.3771
     89        0.3832  3.3899
     90        0.3368  3.3975
     91        0.3313  3.7308
     92        0.3311  3.3164
     93        0.3349  3.6911
     94        0.3359  3.7384
     95        0.3894  3.8330
     96        0.3089  3.5374
     97        0.3102  4.3913
     98        0.4409  3.6239
     99        0.3323  4.2083
    100        0.3319  3.9132
    101        0.3046  3.4509
    102        0.3849  3.4440
    103        0.2994  3.2202
    104        0.3897  3.2158
    105        0.2594  3.3192
    106        0.2872  3.1635
    107        0.2867  4.4774
    108        0.2934  4.2584
    109        0.2546  3.6995
    110        0.3182  3.8313
    111        0.3771  3.7353
    112        0.3146  3.5001
    113        0.3269  3.7354
    114        0.2904  3.5650
    115        0.3308  4.7730
    116        0.3275  3.8960
    117        0.3116  5.1011
    118        0.3613  3.9688
    119        0.2781  3.9667
    120        0.2765  3.8042
    121        0.3439  3.9358
    122        0.3114  4.0505
    123        0.2524  3.8188
    124        0.2893  3.9033
    125        0.2874  4.1020
    126        0.2476  3.6709
    127        0.2520  3.8897
    128        0.2208  4.7278
    129        0.2272  4.2968
    130        0.3001  4.5777
    131        0.3658  4.8755
    132        0.2290  5.4311
    133        0.2563  4.2450
    134        0.2164  3.6624
    135        0.2345  4.1195
    136        0.3037  4.7130
    137        0.2722  4.4504
    138        0.2766  4.5507
    139        0.2373  4.4440
    140        0.2043  3.8133
    141        0.2687  3.8576
    142        0.2141  3.6743
    143        0.2651  3.4968
    144        0.2269  3.7746
    145        0.2090  3.6896
    146        0.2763  3.5057
    147        0.2593  3.6005
    148        0.2344  3.7716
